folder,source_folder,id,display_name,source_name,description,type,domain,units
Administrative,Administrative,participant_id,Participant ID,Participant ID,,identifier,,
Lifestyle and Behavioural Health,intake_dad,alcoholperday_f_int,Number of drinks on the days drinking during the last 30 days - Father,"On the days that you drank during the past 30 days, how many drinks did you usually have each day? Count as a drink a can or bottle of beer; a wine cooler or a glass of wine, champagne, or sherry; a shot of liquor or a mixed drink or cocktail.",,choices,alcoholperday_f_int_,
Lifestyle and Behavioural Health,intake_dad,cigsperday_f_int,Average cigarettes smoked per day - Father,"On average, how many cigarettes per day do you currently smoke? (1 pack = 20 cigarettes)",,choices,cigsperday_f_int_,
Administrative,intake_dad,comfonlinesurv_f_int,Comfort with online surveys - Father,Are you comfortable completing online surveys?,,choices,comfonlinesurv_f_int_,
Lifestyle and Behavioural Health,intake_dad,daysalcoholdrinks_f_int,Frequency drinking one or more drinks of an alcoholic beverage in the last 30 days - Father,"During the past 30 days, on how many days did you drink one or more drinks of an alcoholic beverage?",,numeric,,days
Lifestyle and Behavioural Health,intake_dad,drinkjuice_f_int,Average frequency of drinking 100% pure fruit juices over the last 4 weeks - Father,"In the past 4 weeks, on average, how often did you drink 100% pure fruit juices such as orange, mango, apple, grape, and pineapple juices? Do NOT count punch, Kool-Aid®, Tampico, sports drinks, or Goya juice.",,choices,drinkjuice_f_int_,
Lifestyle and Behavioural Health,intake_dad,drinkpunch_f_int,"Average frequency of drinking punch, sweetened fruit drinks, sports drinks, Kool-Aid®, Tampico, lemonade, Hi-C, cranberry juice, Goya, or Vitamin Water excluding 100% fruit juice or diet drinks,  over the last 4 weeks - Father","In the past 4 weeks, on average, how often did you drink punch, sweetened fruit drinks, sports drinks, Kool-Aid®, Tampico, lemonade, Hi-C, cranberry juice, Goya, or Vitamin Water? Do NOT include 100% fruit juice or diet drinks.",,choices,drinkpunch_f_int_,
Lifestyle and Behavioural Health,intake_dad,drinksodas_f_int,"Average frequency of drinking any regular sodas or soft drinks, excluding diet sodas, over the last 4 weeks - Father","In the past 4 weeks, on average, how often did you drink any regular sodas or soft drinks, including Manzanita, Penafiel, Coke, Pepsi, Dr. Pepper, or Mountain Dew? Do NOT include diet sodas.",,choices,drinksodas_f_int_,
Lifestyle and Behavioural Health,intake_dad,eatfastfood_f_int,Average frequency of eating something from a fast food restaurant over the last 4 weeks - Father,"In the past 4 weeks, on average, how often did you eat something from a fast food restaurant? Examples: McDonald's, Burger King, Taco Bell",,choices,eatfastfood_f_int_,
Lifestyle and Behavioural Health,intake_dad,eatfruit_f_int,"Average frequency of eating fruit (including fresh, frozen, or canned fruit) over the last 4 weeks - Father","In the past 4 weeks, on average, how often did you eat fruit (including fresh, frozen or canned fruit)? Do NOT include fruit juice or dried fruits.",,choices,eatfruit_f_int_,
Lifestyle and Behavioural Health,intake_dad,eatprocessedmeat_f_int,Average frequency of eating any processed meat over the last 4 weeks - Father,"In the past 4 weeks, on average, how often did you eat any processed meat, such as bacon, lunch meats, or hot dogs? Include processed meats you had in sandwiches, soups, pizza, casseroles, and other mixtures. Processed meats are those preserved by smoking",,choices,eatprocessedmeat_f_int_,
Lifestyle and Behavioural Health,intake_dad,eatsweets_f_int,Number of drinks on the days drinking during the last 30 days - Father,"In the past 4 weeks, on average, how often did you eat doughnuts, sweet rolls, Danish, muffins, pan dulce, poptarts, cookies, brownies, pies, or cake? Do NOT include sugar-free items.",,choices,eatsweets_f_int_,
Lifestyle and Behavioural Health,intake_dad,eatveggies_f_int,"Average frequency of eating vegetables (raw, cooked, canned, or frozen) over the last 4 weeks - Father","In the past 4 weeks, on average, how often did you eat vegetables (raw, cooked, canned, or frozen)? Examples: green beans, carrots, corn, cabbage, broccoli",,choices,eatveggies_f_int_,
Demographics/Education,intake_dad,edu_f_int,Highest level of education completed - Father,What is the highest level of education you completed?,,choices,edu_f_int_,
Demographics/Employment,intake_dad,employment_f_int,Employment during the last 12 months - Father,"In the past 12 months, were you mostly...?",,choices,employment_f_int_,
Anthropometry,intake_dad,htinch_f_int,Height (inches component) - Father,...in INCHES,,choices,htinch_f_int_,
Anthropometry,intake_dad,httfeet_f_int,Height (feet component) - Father,"How tall are you?  ...in FEET  (Example: if you are 5 feet, 7 inches then please list 5 here and 7 in the following question)",,choices,httfeet_f_int_,
Lifestyle and Behavioural Health,intake_dad,internethome_f_int,Internet access at home - Father,Do you have internet access in your home?,,choices,internethome_f_int_,
